host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,property_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
2015-05-05,,,f,1.0,t,t,47.63602477658138,-122.35869359564737,t,House,10,3.5,5.0,5.0,,$700.00,$500.00,$250.00,1,$0.00,3,30,t,24,54,84,359,5,2015-07-07,2015-08-10,85.0,10.0,9.0,9.0,9.0,8.0,8.0,f,f,flexible,f,f,1,0.82
2014-04-09,100%,100%,f,1.0,t,t,47.62794033813239,-122.36495872243864,f,Condominium,1,1.0,1.0,1.0,,$110.00,,,1,$0.00,1,1125,t,29,55,85,360,1,2016-01-03,2016-01-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,1,1.0
2014-09-16,100%,100%,f,1.0,t,f,47.636374262238846,-122.36103343324052,t,House,3,1.5,1.0,2.0,,$99.00,,$15.00,1,$10.00,1,1125,t,30,60,90,365,11,2014-09-27,2015-10-18,84.0,9.0,9.0,9.0,9.0,10.0,8.0,f,f,moderate,f,f,1,0.71
2015-10-16,100%,100%,f,1.0,t,f,47.63563222417987,-122.35888090262146,t,House,8,2.0,4.0,4.0,,$450.00,,,1,$0.00,4,1125,t,0,0,0,53,1,2015-12-01,2015-12-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,1,0.86
2015-12-20,,,f,1.0,t,f,47.63339395777785,-122.37191994372272,t,House,2,1.0,1.0,1.0,,$75.00,,,1,$0.00,1,1125,t,30,60,90,365,0,,,,,,,,,,f,f,flexible,f,f,1,
2015-05-11,,,f,1.0,t,f,47.63851671212965,-122.36958103291498,t,House,5,2.5,3.0,3.0,,$600.00,$500.00,$150.00,1,$0.00,3,1125,t,0,0,0,212,1,2015-07-20,2015-07-20,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,1,0.18
2014-06-12,67%,100%,f,2.0,t,t,47.63139734518299,-122.367766870679,t,House,8,2.5,3.0,5.0,,$450.00,$500.00,$200.00,6,$50.00,4,1125,t,0,3,33,293,8,2015-07-04,2015-09-02,100.0,10.0,10.0,9.0,10.0,10.0,10.0,f,f,strict,f,f,2,1.3
2010-01-06,100%,100%,f,1.0,t,t,47.63875224201261,-122.36797266885502,t,House,5,1.0,2.0,3.0,,$150.00,$250.00,$35.00,1,$0.00,1,1125,t,0,0,0,49,0,,,,,,,,,,f,f,flexible,f,f,1,
2012-10-30,100%,100%,t,5.0,t,t,47.63926602026095,-122.37472581108145,t,Camper/RV,2,1.0,1.0,1.0,,$45.00,$150.00,$25.00,1,$0.00,2,7,t,22,49,49,107,80,2014-07-06,2016-01-02,95.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,strict,t,t,5,4.38
2012-10-07,100%,100%,f,5.0,t,t,47.62990711611138,-122.36894813824875,t,Apartment,6,2.0,3.0,3.0,,$300.00,$500.00,$125.00,1,$0.00,2,1125,t,24,54,84,356,6,2015-10-24,2016-01-02,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,moderate,f,f,1,2.47
2013-05-01,71%,100%,f,1.0,t,t,47.63981586823574,-122.37433846349175,t,Apartment,3,1.0,1.0,2.0,,$80.00,,$65.00,3,$50.00,2,1125,t,0,1,30,305,4,2015-01-04,2015-07-25,85.0,8.0,9.0,7.0,10.0,9.0,9.0,f,f,strict,f,f,1,0.33
2013-02-21,98%,100%,t,6.0,t,t,47.63900777818944,-122.36532007300232,t,Apartment,4,1.0,1.0,1.0,,$175.00,,$40.00,1,$0.00,2,365,t,19,46,62,323,38,2014-05-01,2015-10-11,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict,t,t,6,1.86
2013-03-04,97%,100%,f,9.0,t,t,47.63508504491007,-122.36444347330422,t,House,6,1.5,3.0,3.0,,$325.00,$500.00,$100.00,6,$60.00,2,1125,t,23,50,77,162,68,2013-06-15,2015-12-21,92.0,9.0,9.0,10.0,9.0,10.0,9.0,f,f,strict,f,f,8,2.18
2015-04-11,60%,100%,f,1.0,t,t,47.640633234573535,-122.37270939338376,t,House,4,3.0,3.0,2.0,,$175.00,$200.00,$80.00,1,$0.00,4,120,t,0,0,9,213,8,2015-07-06,2015-12-03,88.0,9.0,9.0,9.0,9.0,10.0,9.0,f,f,flexible,f,f,1,1.31
2015-01-10,71%,100%,f,1.0,t,t,47.63812148697112,-122.37578997278467,t,House,7,3.5,4.0,3.0,,$222.00,$500.00,$250.00,7,$75.00,2,1125,t,0,0,0,2,5,2015-08-07,2015-11-12,75.0,8.0,9.0,8.0,9.0,9.0,8.0,f,t,strict,f,f,1,0.99
2013-09-18,100%,100%,f,1.0,t,f,47.62981553345287,-122.36621233485974,t,Apartment,4,1.0,2.0,2.0,,$159.00,$250.00,$99.00,1,$0.00,1,1125,t,11,38,68,309,62,2013-10-08,2015-12-07,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,strict,f,f,1,2.27
